id;name;slug;uic8_sncf;sncf_id;is_main_station;parent_station_id
354;Pusey;pusey;87117432;FRANN;f;
355;Martigny-les-Gerbonvaux;martigny-les-gerbonvaux;87117440;FRANO;f;
356;Autreville;autreville;87117457;FRANP;f;
358;Mont-le-Vignoble;mont-le-vignoble;87117473;FRANR;f;
359;Hestroff;hestroff;87117499;FRANS;f;
360;Vaudreching;vaudreching;87117507;FRANT;f;
361;Alzing;alzing;87117515;FRANU;f;
363;Villette;villette;87117564;FRANY;f;
364;Colmey—Flabeuville;colmey-flabeuville;87117572;FRANZ;f;
365;Montigny-sur-Chiers;montigny-sur-chiers;87117598;FRAOA;f;
366;Lexy;lexy;87117606;FRAOB;t;8749
367;Ingolsheim;ingolsheim;87117614;FRAOC;f;
372;Hertzing;hertzing;87117689;FRAOH;f;
373;Bébing;bebing;87117697;FRAOI;f;
376;Drouilly;drouilly;87117788;FRAOM;f;
377;Aiguillon;aiguillon;87586693;FRAON;f;
378;St-Martin-aux-Champs;st-martin-aux-champs;87117796;FRAOO;f;
379;Bouilly;bouilly;;FRAOP;f;
380;Chamoy;chamoy;87117911;FRAOQ;f;
381;Jeugny;jeugny;;FRAOR;f;
382;Montigny-les-Monts;montigny-les-monts;87117937;FRAOS;f;
383;St-Germain Mairie;st-germain-mairie;87117945;FRAOT;f;
384;St-Jean-de-Bonneval;st-jean-de-bonneval;87117952;FRAOU;f;
385;St-Phal Monument aux morts;st-phal-monument-aux-morts;87117960;FRAOV;f;
386;Villery;villery;87117978;FRAOW;f;
387;Neuvy-Sautour RN;neuvy-sautour-rn;87117986;FRAOX;f;4529
388;Brienon Mairie;brienon-mairie;;FRAOY;f;9151
389;St-Lyé;st-lye;87118067;FRAPA;f;
390;Payns;payns;87118075;FRAPB;f;
391;Savières;savieres;87118083;FRAPC;f;
392;St-Mesmin;st-mesmin;87118091;FRAPD;f;
393;Vallant-St-Georges;vallant-st-georges;87118117;FRAPE;f;
394;Châtres;chatres;87118133;FRAPG;f;
395;Maizières-La Grande-Paroisse;maizieres-la-grande-paroisse;87118141;FRAPH;f;
396;Romilly-sur-Seine;romilly-sur-seine;87118158;FRAPI;t;5092
399;Marnay-sur-Seine;marnay-sur-seine;87118182;FRAPL;f;
400;Nogent-sur-Seine;nogent-sur-seine;87118190;FRAPM;t;4864
401;Aigueperse;aigueperse;87734129;FRAPS;f;
